Age,Revenu_annuel_k€,Heures_travail_semaine,Satisfaction,Distance_domicile_km,Niveau_education,Etat_sante,Genre,Type_logement,Region
26.0,55.87362379919235,50.0,60.7,,Supérieur,,Femme,Maison,
24.0,53.66202783765759,22.0,57.1,9.2,Secondaire,,Femme,Appartement,Est
20.0,18.637628202384153,41.0,94.7,8.8,Secondaire,Moyen,,Appartement,Nord
24.0,42.860835955473505,41.0,,21.9,Secondaire,Moyen,,Studio,Est
,20.836844172847748,39.0,24.3,14.4,Primaire,Moyen,Homme,Maison,Ouest
31.0,38.23505197366469,41.0,,20.2,Primaire,Moyen,Femme,Appartement,Sud
18.0,68.34277323041024,20.0,98.2,0.6,Secondaire,Bon,Homme,Maison,
32.0,74.62115806711131,31.0,24.4,3.8,,Moyen,Femme,,Est
20.0,54.27897298981771,55.0,95.4,3.8,Secondaire,,Homme,Appartement,
40.0,38.593189751320295,28.0,65.3,10.7,Supérieur,Moyen,Femme,Appartement,Sud
39.0,81.76198664720836,56.0,6.0,6.0,Primaire,Bon,Homme,Appartement,Sud
40.0,38.328187324876396,25.0,34.2,15.0,Primaire,Moyen,Homme,Appartement,Sud
39.0,27.286270163819914,24.0,48.1,4.9,Supérieur,Moyen,Femme,Appartement,Est
35.0,63.92965935833567,30.0,83.5,2.5,Supérieur,Bon,Homme,Appartement,Ouest
22.0,59.15468085139413,51.0,33.5,3.4,Primaire,Moyen,Femme,Appartement,Est
39.0,39.148481781483184,34.0,31.7,2.0,Primaire,Moyen,Femme,Appartement,Nord
52.0,52.004504591391346,43.0,92.1,2.2,Secondaire,Moyen,Homme,,Sud
61.0,58.843199777035466,40.0,8.8,2.4,Secondaire,Mauvais,Femme,Maison,Ouest
37.0,54.073576821036326,39.0,55.6,0.2,Supérieur,Moyen,Homme,Appartement,Ouest
,59.17877909929161,52.0,50.9,12.6,Secondaire,Moyen,Femme,,Nord
46.0,39.88570276880051,47.0,6.7,5.1,Supérieur,Moyen,Femme,,Ouest
57.0,60.524900884791975,28.0,9.7,0.2,Secondaire,Mauvais,Homme,Maison,Ouest
34.0,50.35115675166564,,38.8,4.6,Primaire,Bon,Homme,Maison,Sud
48.0,40.563789569272934,57.0,,23.6,,Bon,Femme,Appartement,Est
30.0,45.082304755334505,43.0,48.3,7.2,Secondaire,Moyen,,Studio,Est
43.0,48.04196328151164,24.0,61.3,43.2,Primaire,Mauvais,Femme,Maison,Sud
51.0,21.09243325877442,,69.4,7.8,Primaire,Bon,Homme,Appartement,Nord
24.0,37.26681506860143,48.0,55.1,32.9,Primaire,Moyen,Femme,Studio,Sud
33.0,51.298110311855716,47.0,38.6,2.3,Secondaire,Bon,Homme,Maison,Ouest
51.0,22.980179292222953,30.0,13.8,3.4,Secondaire,Moyen,Femme,Studio,Ouest
47.0,37.60152676370839,47.0,25.5,,Primaire,Bon,Homme,Appartement,Sud
52.0,97.69289956743745,55.0,42.5,43.3,Secondaire,Mauvais,Homme,Studio,Est
50.0,27.41483270357612,54.0,92.5,17.4,Secondaire,Mauvais,Femme,Maison,
35.0,42.32372174699141,56.0,21.1,8.1,Supérieur,Moyen,Homme,Maison,Sud
66.0,33.32565442942538,45.0,41.9,0.9,Supérieur,Moyen,Femme,Appartement,Ouest
41.0,47.66259992093326,38.0,73.5,4.5,Supérieur,Bon,,Appartement,Est
18.0,33.701633137300405,35.0,,,Supérieur,Bon,Femme,Appartement,Nord
36.0,45.13513753415134,39.0,96.6,3.7,,Bon,Homme,Appartement,
34.0,,31.0,19.9,,Secondaire,Moyen,Homme,Appartement,Est
,71.1025563273965,36.0,2.6,4.9,Primaire,Bon,Femme,Appartement,Est
34.0,,52.0,32.9,18.2,Secondaire,,Homme,Studio,Est
53.0,,23.0,15.8,1.6,Primaire,Bon,,,Est
46.0,66.81593047665386,24.0,55.3,3.7,,Moyen,Femme,Maison,Ouest
27.0,,48.0,,,Primaire,Mauvais,Femme,Maison,
38.0,18.718396221766977,36.0,69.1,3.5,Primaire,Bon,Homme,Maison,Ouest
30.0,49.939150251343854,20.0,14.4,4.5,,Bon,Femme,Appartement,Nord
42.0,88.14528848679959,,12.5,2.8,,Bon,,Maison,Ouest
30.0,13.446717421682251,37.0,91.2,28.6,Primaire,Mauvais,Femme,Maison,Nord
40.0,23.38024156861806,35.0,,5.4,Supérieur,Bon,Homme,Appartement,Est
36.0,65.05051326321689,46.0,,1.2,Primaire,Moyen,Homme,Appartement,Sud
38.0,37.15357200776079,26.0,73.9,,,Moyen,Femme,Appartement,Sud
64.0,62.23897134493087,40.0,99.3,2.0,Secondaire,Moyen,Femme,Maison,Ouest
35.0,33.25022186116106,37.0,87.3,2.4,Secondaire,Bon,Homme,Appartement,Sud
18.0,,40.0,42.0,,Supérieur,Moyen,Femme,Maison,Est
52.0,84.88947850770977,22.0,,1.3,Primaire,Mauvais,Homme,,
,26.10820705956258,34.0,47.7,12.8,Primaire,Moyen,Femme,Maison,Nord
18.0,70.47521620274608,40.0,24.1,15.7,Secondaire,Bon,Femme,Studio,Ouest
31.0,,45.0,24.9,5.0,Supérieur,Mauvais,Femme,,
45.0,20.215114978021823,,40.3,11.7,Supérieur,Moyen,,Maison,Ouest
46.0,61.17801047483546,48.0,12.0,4.9,Supérieur,Moyen,Homme,Appartement,Est
39.0,51.456122577252124,44.0,18.6,1.8,Secondaire,Moyen,Homme,,Est
40.0,51.82188019827459,52.0,50.6,,Secondaire,Mauvais,Homme,Maison,Sud
28.0,56.73035132903406,36.0,95.4,8.1,Secondaire,Bon,Homme,,Ouest
18.0,42.9926831116839,55.0,58.2,0.4,Secondaire,Mauvais,Homme,Maison,Nord
64.0,51.40197917884795,51.0,41.4,10.6,Primaire,Moyen,Femme,Appartement,Est
28.0,54.82904850080577,35.0,25.0,13.6,,Moyen,Homme,Maison,Nord
,64.92115877771057,59.0,20.4,19.7,Primaire,Moyen,Femme,Appartement,Sud
38.0,19.456779332438376,44.0,,1.1,Secondaire,Moyen,Homme,Appartement,Nord
,75.8177179298221,60.0,85.0,0.0,Primaire,Bon,,Maison,
41.0,26.894193138815737,43.0,40.5,0.8,Secondaire,Moyen,,Appartement,Est
41.0,65.23256928292774,34.0,55.5,25.8,Secondaire,Moyen,,Maison,
18.0,51.5889019854556,32.0,71.0,14.5,Primaire,Moyen,Femme,Maison,Ouest
29.0,,36.0,6.8,18.0,Primaire,Moyen,Femme,Maison,Est
48.0,60.56290939408009,34.0,35.7,,Primaire,Mauvais,Homme,Studio,Nord
47.0,31.091867216096578,52.0,73.2,7.5,Primaire,Bon,Femme,Maison,Est
28.0,71.3759111031528,39.0,68.8,3.5,Primaire,Moyen,Homme,Studio,Ouest
21.0,35.78330322997512,23.0,6.3,,,Moyen,Homme,Maison,Nord
41.0,20.100278047892452,42.0,24.5,,Secondaire,,Femme,Maison,Est
18.0,80.6769021007259,41.0,68.3,5.0,Secondaire,Bon,Homme,Appartement,Est
26.0,53.62647342473818,35.0,27.9,4.0,Secondaire,Mauvais,,Maison,Sud
61.0,67.34382251522631,42.0,,13.4,,Moyen,Femme,,Ouest
57.0,32.97056242493265,39.0,3.9,,Primaire,Mauvais,Femme,Maison,Sud
45.0,12.163789265835987,46.0,19.8,19.7,Supérieur,Bon,Femme,Maison,Nord
43.0,83.50404848175555,45.0,28.8,5.9,Supérieur,Moyen,Femme,Maison,Ouest
18.0,49.87146375642103,43.0,92.6,5.8,Primaire,Mauvais,Femme,Appartement,Est
31.0,59.82703788327093,27.0,79.8,11.1,Secondaire,Bon,Homme,Maison,Sud
36.0,63.13191561196538,60.0,88.5,10.4,Primaire,,Femme,Maison,Sud
31.0,43.29217893968621,24.0,44.6,3.1,Primaire,,,Appartement,Ouest
35.0,54.52459095231033,38.0,82.4,28.7,Primaire,Moyen,,Studio,Sud
55.0,81.8790518501089,29.0,85.5,42.9,Supérieur,,Femme,Maison,Est
33.0,49.3511754224134,43.0,40.6,7.5,Secondaire,,Femme,Appartement,Nord
35.0,68.8420263283915,41.0,99.5,8.2,Secondaire,Moyen,Femme,Appartement,Ouest
48.0,10.175060399387569,38.0,85.3,8.1,Secondaire,Moyen,Femme,Maison,Ouest
22.0,72.47521260638429,55.0,97.4,6.7,Secondaire,,Femme,Appartement,Est
29.0,19.55991403988053,51.0,86.8,29.0,Secondaire,Moyen,,Appartement,Est
31.0,70.18817648067001,36.0,77.8,2.8,Supérieur,Moyen,Femme,Appartement,Ouest
40.0,57.812624409025425,48.0,94.4,1.1,Secondaire,Mauvais,Homme,Maison,Ouest
35.0,48.08158647852244,,42.6,26.5,Secondaire,Bon,,Maison,Ouest
36.0,48.008235575841404,51.0,78.6,2.4,Secondaire,,Homme,Appartement,Ouest
32.0,44.94537813285331,38.0,22.1,13.8,,Moyen,Femme,Maison,Sud
27.0,33.586609611128736,24.0,73.5,2.3,Supérieur,Moyen,Homme,Studio,Sud
47.0,45.88047442739907,43.0,78.7,32.2,Primaire,Bon,Femme,Maison,Ouest
35.0,94.16118155018178,46.0,,15.7,Secondaire,Moyen,Homme,Appartement,Ouest
47.0,76.0461342156946,32.0,85.1,25.1,Primaire,Moyen,Homme,Maison,Ouest
26.0,32.579936429551324,40.0,41.9,30.2,,Moyen,Femme,,Nord
32.0,55.35374804654576,39.0,54.9,0.9,,,Homme,Maison,Est
37.0,51.91958326472863,53.0,2.1,5.7,Primaire,Bon,Homme,,Est
38.0,47.154131139806566,58.0,15.5,10.4,Secondaire,Bon,Femme,Maison,Ouest
49.0,29.944448867250415,,64.8,16.2,Secondaire,Bon,Homme,,Nord
34.0,58.917959696133046,39.0,56.7,2.8,Secondaire,Bon,Femme,Maison,Ouest
48.0,66.92143259829274,51.0,,,Primaire,,Femme,Appartement,Sud
44.0,,46.0,25.1,2.5,Primaire,Mauvais,,Maison,Est
38.0,89.11082834578414,39.0,35.1,20.1,Primaire,,Homme,Maison,Est
,80.44006498471109,60.0,71.9,7.2,Primaire,Mauvais,Homme,Appartement,Sud
49.0,60.96331117902465,32.0,61.4,7.2,,Bon,Femme,Maison,Est
28.0,25.36560594662373,46.0,7.9,4.7,Supérieur,Bon,Homme,Appartement,Ouest
,58.02817251969124,,76.2,1.1,Primaire,Moyen,Homme,Maison,Sud
39.0,55.63956003128931,37.0,27.0,4.3,Primaire,Moyen,Homme,Appartement,Est
37.0,60.263105524369934,45.0,67.5,,Supérieur,Mauvais,Femme,,Sud
35.0,81.80928544579473,49.0,13.2,6.5,Supérieur,Mauvais,Femme,Appartement,Ouest
30.0,46.480518907667594,42.0,99.8,13.4,Secondaire,Bon,Homme,Appartement,
20.0,90.95653159311487,44.0,9.0,4.3,Primaire,Mauvais,Homme,Appartement,
56.0,58.130086919875,41.0,74.4,5.2,Supérieur,Bon,Femme,Maison,Ouest
34.0,44.1907364867747,47.0,54.6,23.7,Primaire,Moyen,Homme,Maison,Sud
38.0,97.98754413412823,37.0,9.5,14.0,Supérieur,Bon,Femme,Studio,Sud
38.0,66.5978380004018,36.0,3.7,0.2,Supérieur,Mauvais,Homme,Maison,Ouest
53.0,40.90532226085055,40.0,36.9,16.7,Secondaire,Moyen,Homme,,
63.0,51.68433177892885,51.0,80.4,46.0,Primaire,Moyen,Homme,Maison,Est
41.0,62.70466043709068,22.0,5.1,28.1,Primaire,Mauvais,Homme,Appartement,Est
38.0,,30.0,70.7,18.1,Supérieur,Moyen,,Studio,Ouest
26.0,52.67815738089901,60.0,65.9,9.9,Supérieur,Bon,Femme,Appartement,Nord
22.0,33.655927926745576,,27.3,3.3,Secondaire,,Femme,,Nord
18.0,16.296109383841838,35.0,8.7,10.6,Primaire,Moyen,Femme,Maison,Sud
30.0,,47.0,,,Secondaire,Bon,Homme,Appartement,Est
18.0,52.800556444517746,32.0,30.7,3.3,Supérieur,Bon,,Appartement,Sud
52.0,60.54239183115709,20.0,12.0,,Supérieur,,Femme,Appartement,Est
45.0,38.47620585787607,43.0,68.5,5.1,Primaire,Mauvais,,Studio,Nord
36.0,23.1889141091867,32.0,22.5,10.2,Secondaire,Mauvais,Homme,Studio,Ouest
53.0,30.693510605053028,41.0,48.1,3.5,Primaire,Moyen,Homme,Maison,Est
27.0,71.1126751367965,43.0,6.0,8.1,Supérieur,Mauvais,Homme,Maison,Nord
,36.66777375584857,41.0,99.3,22.9,,Moyen,Femme,Appartement,Sud
18.0,41.158380283924764,22.0,45.3,3.5,Supérieur,Moyen,,Appartement,Ouest
49.0,43.75172872337776,40.0,99.9,33.8,Primaire,Moyen,Femme,Appartement,Ouest
30.0,37.61447661426419,,39.2,,Primaire,Mauvais,,Appartement,Ouest
40.0,36.135783449343336,25.0,35.4,1.1,Secondaire,Moyen,Homme,Appartement,Sud
52.0,32.57752870732379,24.0,91.5,0.6,Supérieur,Mauvais,Homme,Appartement,Ouest
56.0,78.01313149136399,29.0,33.6,4.1,Primaire,Moyen,Femme,Maison,Est
39.0,63.602013666858596,47.0,43.8,3.0,,Moyen,Homme,Appartement,
44.0,74.95641546300476,20.0,8.7,18.6,Secondaire,Mauvais,Homme,Appartement,Sud
,78.98679512921676,48.0,95.6,13.4,Supérieur,Bon,Femme,Maison,Est
,10.0,43.0,9.4,,Secondaire,Moyen,Homme,Appartement,Nord
38.0,56.869092840561535,37.0,77.3,8.9,Primaire,Bon,Homme,Appartement,Ouest
40.0,38.27642732203362,25.0,54.3,5.7,,Moyen,Homme,Appartement,Ouest
35.0,72.33619288706697,32.0,7.1,3.2,Supérieur,Moyen,,Maison,Nord
